referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE04OSBP-LV01C-06-CAMDSB106,2018,5,44.36934,-124.95376,581,581
CE04OSBP-LV01C-06-CAMDSB106,2019,6,44.36929,-124.95389,581,581
CE04OSBP-LV01C-06-CAMDSB106,2020,7,44.36934,-124.95389,585,585
CE04OSPD-DP01B-00-ENG000000,2014,1,44.36831,-124.95276,N/A,582
CE04OSPD-DP01B-00-ENG000000,2015,2,44.36853,-124.95267,N/A,582
CE04OSPD-DP01B-00-ENG000000,2016,3,44.36843,-124.95304,N/A,583
CE04OSPD-DP01B-00-ENG000000,2017,4,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-00-ENG000000,2017,5,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-00-ENG000000,2018,6,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-00-ENG000000,2019,7,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-00-ENG000000,2019,8,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-00-ENG000000,2020,9,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2014,1,44.36831,-124.95276,N/A,582
CE04OSPD-DP01B-01-CTDPFL105,2015,2,44.36853,-124.95267,N/A,582
CE04OSPD-DP01B-01-CTDPFL105,2016,3,44.36843,-124.95304,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2017,4,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2017,5,44.36826,-124.95275,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2018,6,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2019,7,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2019,8,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-01-CTDPFL105,2020,9,44.36819,-124.95282,N/A,583
CE04OSPD-DP01B-02-VEL3DA105,2014,1,44.36831,-124.95276,N/A,582
CE04OSPD-DP01B-02-VEL3DA105,2015,2,44.36853,-124.95267,N/A,582
