CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
RR1713,,,,CE04OSPS-PC01B,4,1,2017-07-29T05:00:00,2018-07-17T15:00:00,ATAPL-67762-10001,ATAPL-69839-00105,,44.374163,-124.956480,,193,574,,,
RR1811,,,,CE04OSPS-PC01B,5,1,2018-07-17T15:00:00,2019-06-13T21:54:00,ATAPL-67762-10001,ATAPL-69839-00105,,44.374224,-124.956401,,199,574,,,
AT42-12,,,,CE04OSPS-PC01B,6,1,2019-06-14T16:42:00,2020-08-01T22:29:00,ATAPL-67762-10001,ATAPL-69839-00105,,44.374224,-124.956401,,199,574,,,
TN382,,,,CE04OSPS-PC01B,7,1,2020-08-02T19:43:56,2020-08-22T00:11:00,ATAPL-67762-10001,ATAPL-69839-00102,,44.374224,-124.956401,,199,574,,,
TN393,,,,CE04OSPS-PC01B,8,1,2021-08-24T17:11:39,2022-08-10T16:21:00,ATAPL-67762-10001,ATAPL-69839-00105,,44.374224,-124.956401,,199,574,,,
TN407,,,,CE04OSPS-PC01B,9,1,2022-08-11T22:00:00,,ATAPL-67762-10001,ATAPL-69839-00102,,44.374224,-124.956401,,199,574,,,
TN313,,,,CE04OSPS-SC01B,1,1,2014-08-30T21:51:00,2015-08-02T00:00:00,ATAPL-67762-10001,ATAPL-69140-00121,,44.374163,-124.956480,,193,574,,,
TN326,,,,CE04OSPS-SC01B,2,1,2015-08-03T02:21:00,2016-07-18T00:00:00,ATAPL-67762-10001,ATAPL-69140-00124,,44.374163,-124.956480,,193,574,,,
SKQ201610S,,,,CE04OSPS-SC01B,3,1,2016-07-19T08:00:00,2017-07-28T00:00:00,ATAPL-67762-10001,ATAPL-69140-00121,,44.374163,-124.956480,,193,574,,,
RR1713,,,,CE04OSPS-SC01B,4,1,2017-07-29T05:00:00,2018-07-17T15:00:00,ATAPL-67762-10001,ATAPL-69140-00124,,44.374163,-124.956480,,193,574,,,
RR1811,,,,CE04OSPS-SC01B,5,1,2018-07-17T15:00:00,2019-06-13T21:54:00,ATAPL-67762-10001,ATAPL-69140-00124,,44.374224,-124.956401,,199,574,,,
AT42-12,,,,CE04OSPS-SC01B,6,1,2019-06-14T16:42:00,2020-08-01T22:29:00,ATAPL-67762-10001,ATAPL-69140-00124,,44.374224,-124.956401,,199,574,,,
