referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE04OSPS-PC01B-4B-PHSENA106,2017,4,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4B-PHSENA106,2018,5,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4B-PHSENA106,2019,6,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4B-PHSENA106,2020,7,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4B-PHSENA106,2021,8,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4B-PHSENA106,2022,9,44.369353,-124.954108,197,574
CE04OSPS-PC01B-4D-PCO2WA105,2014,1,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4D-PCO2WA105,2015,2,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4D-PCO2WA105,2016,3,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4D-PCO2WA105,2017,4,44.374163,-124.956480,193,574
CE04OSPS-PC01B-4D-PCO2WA105,2018,5,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4D-PCO2WA105,2019,6,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4D-PCO2WA105,2020,7,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4D-PCO2WA105,2021,8,44.374225,-124.956429,197,574
CE04OSPS-PC01B-4D-PCO2WA105,2022,9,44.369353,-124.954108,197,574
CE04OSPS-SF01B-2A-CTDPFA107,2014,1,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2A-CTDPFA107,2015,2,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2A-CTDPFA107,2016,3,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2A-CTDPFA107,2017,4,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2A-CTDPFA107,2018,5,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2A-CTDPFA107,2019,6,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2A-CTDPFA107,2020,7,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2A-CTDPFA107,2021,8,44.374225,-124.956429,N/A,574
CE04OSPS-SF01B-2A-CTDPFA107,2022,9,44.369353,-124.954108,N/A,574
CE04OSPS-SF01B-2A-DOFSTA107,2014,1,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2A-DOFSTA107,2015,2,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2A-DOFSTA107,2016,3,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2A-DOFSTA107,2017,4,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2A-DOFSTA107,2018,5,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2A-DOFSTA107,2019,6,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2A-DOFSTA107,2020,7,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2A-DOFSTA107,2021,8,44.374225,-124.956429,N/A,574
CE04OSPS-SF01B-2A-DOFSTA107,2022,9,44.369353,-124.954108,N/A,574
CE04OSPS-SF01B-2B-PHSENA108,2014,1,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2B-PHSENA108,2015,2,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2B-PHSENA108,2016,3,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2B-PHSENA108,2017,4,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-2B-PHSENA108,2018,5,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2B-PHSENA108,2019,6,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2B-PHSENA108,2020,7,44.374225,-124.956429,197,574
CE04OSPS-SF01B-2B-PHSENA108,2021,8,44.374225,-124.956429,N/A,574
CE04OSPS-SF01B-2B-PHSENA108,2022,9,44.369353,-124.954108,N/A,574
CE04OSPS-SF01B-3A-FLORTD104,2014,1,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-3A-FLORTD104,2015,2,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-3A-FLORTD104,2016,3,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-3A-FLORTD104,2017,4,44.374163,-124.956480,N/A,574
CE04OSPS-SF01B-3A-FLORTD104,2018,5,44.374225,-124.956429,197,574
CE04OSPS-SF01B-3A-FLORTD104,2019,6,44.374225,-124.956429,197,574
