referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
RS01SLBS-MJ01A,2013,1,44.509829,-125.405198,2909,2909
RS01SLBS-MJ01A,2016,2,44.5097,-125.405176,2909,2909
RS01SLBS-MJ01A,2021,3,44.50972,-125.405161,2907,2907
RS01SLBS-MJ01A,2022,4,44.509837,-125.405161,2906,2906
RS01SLBS-PN01A,2012,1,44.509568,-125.398242,2900,2900
RS01SUM1-LJ01B,2014,1,44.569182,-125.148051,776,776
RS01SUM1-LJ01B,2016,2,44.569175,-125.148092,778,778
RS01SUM1-LJ01B,2019,3,44.569145,-125.14814,778,778
RS01SUM1-LV01B,2014,1,44.569181,-125.14807,776,776
RS01SUM1-LV01B,2022,2,44.56915,-125.148218,778,778
RS01SUM1-PN01B,2012,1,44.481442,-125.148328,1242,1242
RS01SUM1-PN01B,2022,2,44.478328,-125.15121,1261,1261
RS01SUM2-MJ01B,2014,1,44.569833,-125.146823,772,772
RS01SUM2-MJ01B,2018,2,44.569839,-125.146776,775,775
RS01SUM2-MJ01B,2023,3,44.569826,-125.1467,773,773
RS03ASHS-MJ03B,2013,1,45.93371,-130.01385,1540,1540
RS03ASHS-MJ03B,2014,2,45.933726,-130.013915,1541,1541
RS03ASHS-MJ03B,2017,3,45.93372,-130.013915,1540,1540
RS03ASHS-MJ03B,2018,4,45.933738,-130.013899,1544,1544
RS03AXBS-LJ03A,2014,1,45.816802,-129.754157,2609,2609
RS03AXBS-LJ03A,2015,2,45.816869,-129.754362,2610,2610
RS03AXBS-LJ03A,2016,3,45.816778,-129.754181,2610,2610
RS03AXBS-LJ03A,2017,4,45.816791,-129.754125,2600,2600
RS03AXBS-LJ03A,2022,5,45.816784,-129.754098,2608,2608
RS03AXBS-MJ03A,2014,1,45.820225,-129.736591,2612,2612
RS03AXBS-MJ03A,2016,2,45.820174,-129.736499,2611,2611
RS03AXBS-MJ03A,2019,3,45.820191,-129.736415,2612,2612
RS03AXBS-PN03A,2012,1,45.82058,-129.74355,2600,2600
RS03AXBS-PN03A,2014,2,45.820455,-129.743155,2611,2611
RS03AXPD-DP03A,2014,1,45.829731,-129.759059,N/A,2608
RS03AXPD-DP03A,2015,2,45.829678,-129.759061,N/A,2603
RS03AXPD-DP03A,2017,3,45.829651,-129.759299,N/A,2612
RS03AXPD-DP03A,2018,4,45.829651,-129.759299,N/A,2612
RS03AXPD-DP03A,2019,5,45.829651,-129.759299,N/A,2612
RS03AXPD-DP03A,2020,6,45.829651,-129.759299,N/A,2612
RS03AXPD-DP03A,2021,7,45.829651,-129.759299,N/A,2612
RS03AXPD-DP03A,2022,8,45.829651,-129.759299,N/A,2612
RS03AXPD-DP03A,2023,9,45.829731,-129.7593,N/A,2612
RS03AXPD-PD03A,2014,1,45.829751,-129.759059,2894,2608
RS03AXPD-PD03A,2015,2,45.829678,-129.759061,2896,2603
RS03AXPD-PD03A,2017,3,45.829651,-129.759299,2895,2612
RS03AXPS-LV03A,2014,1,45.816769,-129.754071,2604,2604
RS03AXPS-LV03A,2021,2,45.816712,-129.754055,2609,2609
RS03AXPS-PC03A,2014,1,45.830481,-129.753284,187,2611
RS03AXPS-PC03A,2015,2,45.830481,-129.753284,187,2611
RS03AXPS-PC03A,2016,3,45.830481,-129.753284,187,2611
RS03AXPS-PC03A,2017,4,45.830481,-129.753284,187,2611
RS03AXPS-PC03A,2019,5,45.83046,-129.753213,190,2611
RS03AXPS-PC03A,2020,6,45.83046,-129.753213,190,2611
RS03AXPS-PC03A,2021,7,45.83046,-129.753213,190,2611
RS03AXPS-PC03A,2022,8,45.83046,-129.753213,190,2611
RS03AXPS-PC03A,2023,9,45.830454,-129.75303,191,2611
RS03AXPS-SC03A,2014,1,45.830481,-129.753284,187,2611
RS03AXPS-SC03A,2015,2,45.830481,-129.753284,187,2611
RS03AXPS-SC03A,2016,3,45.830481,-129.753284,187,2611
RS03AXPS-SC03A,2017,4,45.830481,-129.753284,187,2611
RS03AXPS-SC03A,2019,5,45.83046,-129.753213,190,2611
RS03AXPS-SC03A,2020,6,45.83046,-129.753213,190,2611
RS03AXPS-SC03A,2021,7,45.83046,-129.753213,190,2611
RS03AXPS-SC03A,2022,8,45.83046,-129.753213,190,2611
RS03AXPS-SC03A,2023,9,45.830454,-129.75303,191,2611
RS03AXPS-SF03A,2014,1,45.830481,-129.753284,N/A,2611
RS03AXPS-SF03A,2015,2,45.830481,-129.753284,N/A,2611
RS03AXPS-SF03A,2016,3,45.830481,-129.753284,N/A,2611
RS03AXPS-SF03A,2017,4,45.830481,-129.753284,N/A,2611
RS03AXPS-SF03A,2019,5,45.83046,-129.753213,N/A,2611
RS03AXPS-SF03A,2020,6,45.83046,-129.753213,N/A,2611
RS03AXPS-SF03A,2021,7,45.83046,-129.753213,N/A,2611
RS03AXPS-SF03A,2022,8,45.83046,-129.753213,N/A,2611
RS03AXPS-SF03A,2023,9,45.830454,-129.75303,191,2611
RS03AXSM-PN03B,2013,1,45.941273,-129.969737,1530,1530
RS03CCAL-MJ03F,2014,1,45.954828,-130.008923,1526,1526
RS03CCAL-MJ03F,2018,2,45.954861,-130.009013,1531,1531
RS03CCAL-MJ03F,2021,3,45.954897,-130.008892,1527,1527
RS03ECAL-MJ03E,2013,1,45.939834,-129.974214,1517,1517
RS03ECAL-MJ03E,2020,2,45.939835,-129.974157,1521,1521
RS03INT1-MJ03C,2014,1,45.926259,-129.978937,1523,1523
RS03INT1-MJ03C,2021,2,45.926287,-129.978886,1521,1521
RS03INT2-MJ03D,2014,1,45.925946,-129.977893,1531,1531
RS03INT2-MJ03D,2016,2,45.925874,-129.977682,1531,1531
RS03INT2-MJ03D,2018,3,45.925841,-129.977609,1532,1532
RS03INT2-MJ03D,2023,4,45.925767,-129.97753,1528,1528
RS05MDPL-PN05A,2012,1,45.755555,-127.278438,2850,2850
